Opleidingsnaam;Opleidingsnaam DUO - 3b. 2025;Opleidingscode;Subcategorie - NIDAP;Hoofdcategorie - NIDAP ;ISCED-hoofdgroep;ISCED-subgroep;RIO-onderdeel;ROA-opleidingstype;Opmerking;ISCED Rubriek (hoogste detail);ISCED detailgroep (op één na hoogste detail);HO sector;ROA Subsector;ROA Opleidingstype
B Accountancy;B Accountancy;34406;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
Ad Accountancy;Ad Accountancy;80008;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accounting and Control;M Accounting and Control;60047;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accountancy;M Accountancy;60060;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accountancy and Controlling;M Accountancy and Controlling;60643;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accountancy and Control;M Accountancy and Control;60900;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Accounting, Auditing and Control;M Accounting, Auditing and Control;69313;Accountancy en Control;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
B Business Studies;B Business Studies;34145;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Food and Business;B Food and Business;34432;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B International Business;B International Business;50019;Bedrijfskunde;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
